TIPO,Subcategoria,Numero,Comida,Precio,sin foto,pescado,molusco,marisco,cacahuete,apio,altramuces,mostaza,frutos secos,huevos,lacteos,sesamo,sulfitos,trigo,soja
BEBIDAS,BEBIDAS,214,Aquarius,3.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,215,Aloe ,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,216,Tónica,3.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,217,Redbull,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,218,Zumo naranja natural,3.80,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,204,Agua mineral sin gas (500ml),2.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,219,Agua con gas,3.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,220,Wanglaoji,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,221,Leche de coco,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,222,Leche wangzai,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,223,Mojito,8.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,224,Piña colada,8.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,225,Whisky solo,6.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,226,Gin solo,6.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,227,Ron solo,6.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,228,Whisky combinado,8.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,229,Gin combinado,8.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,230,Ron combinado,8.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,231,Tinto verano ,3.85,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,232,Copa de vino,3.85,1,,,,,,,,,,,,,,
BEBIDAS,,,VINOS TINTOS,,,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,235,Vino de la casa (rioja),13.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,236,Ramón Bilbao (Rioja),19.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,237,Pago de los capellanes (azul),28.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,238,Marqués de riscal ,28.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,239,Pago de los capellanes (rojo),38.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,240,Pago de carraovejas,58.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,241,Lalama (vino de ribeira sacra),33.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,242,Solarce (vino de rioja),20.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,243,Marqués de murrieta (vino de rioja reserva),35.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,244,La mateo (vino de rioja),35.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,245,Altanza (vino de rioja reserva),25.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,246,Dominio del aguila (ribera del duero reserva),88.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,247,Jumilla (syrah),18.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,248,Jumilla ( monas trell),18.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,249,Enate syrah shiraz (somontano),38.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,250,Carravalseca maceracion carbonica,20.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,251,Enate cabernet sauvignon merlot,18.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,252,Marqués de Cáceres (rioja),18.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,253,Protos joven (ribera del duero),18.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,254,Contino (rioja),45.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,255,Camino de navaherreros (vino de Madrid),20.00,1,,,,,,,,,,,,,,
BEBIDAS,,,VINOS BLANCOS,,,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,258,Vino blanco de la casa (verdejo),13.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,259,Barbadillo,13.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,260,Mar de frades albariño (rias baixas),28.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,261,Viñasol,14.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,262,Lalume (vino blanco de ribeiro),30.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,263,Viña del vero (Gewürztraminer),22.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,264,Marques de riscal verdejo ,18.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,265,Diamante,13.00,1,,,,,,,,,,,,,,
BEBIDAS,,,VINOS ROSADOS,,,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,268,Vino rosado de la casa,13.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS ROSADOS,269,Gran feudo (Navara),13.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS ROSADOS,270,Enate (somontano),19.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS ROSADOS,271,Sangría,13.00,1,,,,,,,,,,,,,,
